Time,Vdc,Adc
1678483715.75815, 4.7269e1, 1.4981e1
1678483716.2274926, 4.7268e1, 1.4981e1
1678483716.8606145, 4.7267e1, 1.4981e1
1678483717.2751532, 4.7266e1, 1.4981e1
1678483717.7581956, 4.7265e1, 1.4981e1
1678483718.227773, 4.7264e1, 1.4981e1
1678483718.8605423, 4.7263e1, 1.4981e1
1678483719.2752056, 4.7262e1, 1.4981e1
1678483719.7592542, 4.7261e1, 1.4981e1
1678483720.2280374, 4.7261e1, 1.4981e1
1678483720.8607311, 4.7260e1, 1.4981e1
1678483721.275299, 4.7260e1, 1.4981e1
1678483721.7592897, 4.7260e1, 1.4981e1
1678483722.228279, 4.7259e1, 1.4981e1
1678483722.860787, 4.7258e1, 1.4981e1
1678483723.2763135, 4.7257e1, 1.4981e1
1678483723.759349, 4.7257e1, 1.4981e1
1678483724.2285628, 4.7256e1, 1.4981e1
1678483724.8619208, 4.7256e1, 1.4981e1
1678483725.2764359, 4.7255e1, 1.4981e1
1678483725.7594213, 4.7255e1, 1.4981e1
1678483726.2288346, 4.7255e1, 1.4981e1
1678483726.861424, 4.7254e1, 1.4981e1
1678483727.276427, 4.7253e1, 1.4981e1
1678483727.75944, 4.7252e1, 1.4981e1
1678483728.229087, 4.7252e1, 1.4981e1
1678483728.861971, 4.7251e1, 1.4981e1
1678483729.2764397, 4.7250e1, 1.4981e1
1678483729.7604933, 4.7250e1, 1.4981e1
1678483730.2292726, 4.7249e1, 1.4981e1
1678483730.8619611, 4.7249e1, 1.4981e1
1678483731.278116, 4.7249e1, 1.4981e1
1678483731.7605944, 4.7248e1, 1.4981e1
1678483732.2295434, 4.7248e1, 1.4981e1
1678483732.8620565, 4.7248e1, 1.4981e1
1678483733.277623, 4.7247e1, 1.4981e1
1678483733.7606015, 4.7246e1, 1.4981e1
1678483734.2298036, 4.7245e1, 1.4980e1
1678483734.8629367, 4.7244e1, 1.4981e1
1678483735.2776031, 4.7244e1, 1.4981e1
1678483735.7606428, 4.7243e1, 1.4981e1
1678483736.230113, 4.7242e1, 1.4981e1
1678483736.8630648, 4.7242e1, 1.4981e1
1678483737.2777207, 4.7241e1, 1.4981e1
